Phones
ʁ
l
j
ø
a
ɔ
s
d
v
ɔ̃
e
ɛ
b
n
m
p
k
ə
t
ʒ
g
i
œ
ɑ̃
f
ɛ̃
o
y
œ̃
u
w
z
ʃ
aː
ɲ
e-
y-
a-
yː
ɛː
ɪ
uː
θ
dʒ
əʊ
iː
kː
ʌ
h
œː
ø
ɲ
