Phones_API
m
h
d
l
θ
f
b
ɹ
s
p
ɝ
w
k
z
v
t
ə
oʊ
æ
i
ɛ
ɔ
n
ŋ
ð
g
dʒ
tʃ
ʃ
ʌ
u
ɑ
ɪ
aɪ
eɪ
ʊ
aʊ
j
ɔɪ
ʒ
